Bateria,n_Gerentes,m_Operarios,i_Servicos,Leiloes_Esperados,Leiloes_Fechados,Sucesso(%),Volume_Msgs_FIPA,Drop_Msgs_FIPA,Gargalo_BDI(ms),Throughput_Total(ms),CPU_Max(%),RAM_Max(MB)
1,1,5,1,1,1,100.0,11,0,4.0,3012.0,2426.0,113.0078125
1,1,15,1,1,1,100.0,31,0,2.0,3008.0,8.6,119.0859375
1,1,30,1,1,1,100.0,61,0,3.0,3011.0,6022.2,118.109375
1,1,50,1,1,1,100.0,101,0,3.0,3010.0,20884.2,117.421875
2,5,20,1,5,5,100.0,205,0,2.8,3010.2,21583.4,113.05078125
2,5,20,3,15,15,100.0,615,0,6.0,3016.4666666666667,21876.1,122.59765625
2,5,20,5,25,25,100.0,1025,0,7.44,3020.88,21283.4,119.1875
2,5,20,8,40,40,100.0,1640,0,12.75,3031.95,22049.7,127.48828125
2,5,20,10,50,50,100.0,2050,0,35.9,3075.86,21406.9,129.87890625
3,10,10,2,20,20,100.0,420,0,3.1,3012.95,21269.8,119.66796875
3,50,10,2,100,100,100.0,2100,0,3.81,3022.53,21150.1,129.37109375
3,100,10,2,200,200,100.0,4200,0,2.45,3022.555,24310.2,147.0390625
3,200,10,2,400,400,100.0,8400,0,0.26,3002.0825,21888.5,145.16015625
4,200,50,10,2000,2000,100.0,202000,92910,3.7695,1234.125,20499.8,154.01171875
